x,y,z
2.56029,-5.90737,3.66302
2.03652,-5.48001,3.35094
2.82476,-5.53991,3.53742
4.13807,-6.94545,4.63254
2.692,-5.98554,3.75146
4.19568,-6.94875,4.65835
2.90252,-5.49518,3.55115
7.85543,-9.46889,6.94115
4.30865,-7.05755,4.73787
9.64029,-9.07489,7.82656
9.42506,-10.0836,7.92263
5.20142,-7.415,5.22239
6.21652,-7.74233,5.8063
12.3491,-10.1621,9.6151
4.53718,-7.28357,4.87531
10.5991,-11.1398,8.63982
12.8188,-11.9658,10.0679
6.89624,-8.52335,6.36464
14.3506,-11.7514,10.9203
8.46728,-9.17645,7.37116
5.20751,-7.21606,5.04037
13.8763,-12.719,10.534
7.25868,-8.90942,6.5934
7.86276,-8.46239,6.73936
20.3424,-12.5614,14.6049
23.4383,-16.5496,16.4643
25.4602,-15.6272,17.7261
6.5433,-1.46137,4.22141
25.6472,-17.719,17.2928
8.14279,-2.74325,4.68202
26.4792,-16.1048,17.7758
7.06697,-1.96342,4.18769
12.8269,-6.71058,8.6196
11.3465,-5.04697,7.69321
26.8783,-15.9417,17.2587
7.1705,-1.86909,4.01954
12.9623,-6.7022,8.3641
6.34165,-1.30203,3.68974
5.81275,-0.852422,3.53366
5.49304,-0.496461,3.49928
12.9158,-6.48162,7.94809
6.41402,-1.20024,3.52294
11.6265,-5.03401,7.25354
8.33108,-3.00844,5.30297
5.32758,-0.423474,3.21668
5.41566,-0.141367,3.44751
11.829,-4.93772,7.01672
5.70725,-0.658807,3.08658
8.42721,-2.97796,5.1114
7.60036,-2.18076,4.74245
5.44079,-0.0736613,3.27495
5.02043,0.18932,3.20457
5.85572,-0.264549,3.13517
5.0344,0.262897,3.0347
5.4117,0.0714856,2.97393
4.66767,0.47181,2.9976
5.01149,0.350038,2.8379
4.95983,0.47269,2.64273
4.36134,0.764023,2.74806
4.09256,0.943174,2.68822
4.06031,1.02984,2.51632
3.84432,1.14167,2.56712
4.26358,1.02067,2.30646
3.61223,1.32127,2.46082
3.95986,1.2473,2.17783
3.76624,1.33513,2.23563
3.38838,1.48229,2.36415
3.51437,1.66471,2.32615
4.15496,2.13195,2.98053
7.59996,3.6395,4.3962
10.6061,5.48541,6.65576
7.21167,4.0205,4.93256
4.32421,2.56933,3.20452
5.11854,5.09297,4.54079
7.54728,4.57344,4.90785
5.99045,6.37227,4.83288
4.47942,2.88666,3.17738
5.89273,6.47133,5.16598
5.7413,6.46498,5.41304
7.57423,8.99316,6.10039
4.3621,3.0615,2.95892
7.12925,8.70527,6.20952
4.32392,3.20027,3.19978
6.88272,8.62504,6.49416
4.27154,3.3103,3.4242
6.67202,8.52663,6.74681
9.42405,12.9614,8.32263
4.75469,3.84489,3.38917
9.04829,12.7337,8.61529
4.70233,3.97599,3.65305
7.40394,10.6235,7.5975
4.64662,4.0827,3.90552
6.41152,9.32697,7.01597
5.26119,4.88166,3.97149
5.19057,5.00325,4.26737
1.86593,3.04502,2.08836
1.66666,3.16207,2.08502
1.4811,3.31508,2.00622
1.45894,3.2589,2.12995
1.27124,3.45727,1.93936
1.25866,3.3892,2.09807
1.03808,3.54254,2.04377
1.05391,3.48095,2.15137
0.809548,3.64756,2.07371
0.773819,5.5127,2.97297
0.805439,5.42916,3.0457
0.832381,5.2237,3.05152
0.374986,4.96609,2.72344
0.47779,4.75211,2.78815
0.032042,4.50066,2.47507
0.160279,4.38453,2.55159
-0.275898,4.08111,2.23299
-0.14556,4.05195,2.32409
-0.893906,2.92812,1.75692
-0.476776,3.69942,2.07754
-0.37554,3.71762,2.14512
-0.307696,3.74803,2.18736
-1.20739,2.84099,1.76565
-0.698264,3.358,1.9077
-0.640543,3.39327,1.95166
-1.43987,2.32296,1.59029
-1.49926,2.11946,1.54222
-1.53699,2.22429,1.524
